factura,fecha,fecha de entrega,productCode,producto,categoria,precio compra,precio,cantidad,status,customerNumber,cliente,ciudad,pais,employeeNumber,vendedor
10104,2003-01-31,2003-02-01,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,74.86,122.73,29,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,77.9,165.95,23,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S18_4027,1970 Triumph Spitfire,Classic Cars,91.92,119.2,38,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S24_1444,1970 Dodge Coronet,Classic Cars,32.37,52.02,35,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,15.91,30.41,44,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,69.78,106.45,26,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,25.98,51.95,35,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S32_3207,1950's Chicago Surface Lines Streetcar,Trains,26.72,56.55,49,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,68.29,114.59,33,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S50_1514,1962 City of Detroit Streetcar,Trains,37.49,53.31,32,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10105,2003-02-11,2003-02-12,S10_4757,1972 Alfa Romeo GTA,Classic Cars,85.68,127.84,50,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S12_1108,2001 Ferrari Enzo,Classic Cars,95.59,205.72,41,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S12_3891,1969 Ford Falcon,Classic Cars,83.05,141.88,29,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S18_3140,1903 Ford Model A,Vintage Cars,68.3,136.59,22,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S18_3259,Collectable Wooden Train,Trains,67.56,87.73,38,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S18_4522,1904 Buick Runabout,Vintage Cars,52.66,75.48,41,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S24_2011,18th century schooner,Ships,82.34,117.97,43,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S24_3151,1912 Ford Model T Delivery Wagon,Vintage Cars,46.91,73.46,44,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S24_3816,1940 Ford Delivery Sedan,Vintage Cars,48.64,75.47,50,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S700_1138,The Schooner Bluenose,Ships,34.0,54.0,41,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S700_1938,The Mayflower,Ships,43.3,86.61,29,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S700_2610,The USS Constitution Ship,Ships,33.97,60.72,31,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S700_3505,The Titanic,Ships,51.09,92.16,39,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S700_3962,The Queen Mary,Ships,53.63,99.31,22,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10105,2003-02-11,2003-02-12,S72_3212,Pont Yacht,Ships,33.3,44.77,25,Shipped,145,Danish Wholesale Imports,Kobenhavn,Denmark,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S18_1662,1980s Black Hawk Helicopter,Planes,77.27,134.04,36,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S18_2581,P-51-D Mustang,Planes,49.0,81.1,34,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S18_3029,1999 Yamaha Speed Boat,Ships,51.61,80.86,41,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,Vintage Cars,64.58,94.22,41,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S24_1785,1928 British Royal Navy Airplane,Planes,66.74,107.23,28,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S24_2841,1900s Vintage Bi-Plane,Planes,34.25,65.77,49,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S24_3420,1937 Horch 930V Limousine,Vintage Cars,26.3,55.89,31,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S24_3949,Corsair F4U ( Bird Cage),Planes,29.34,55.96,50,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S24_4278,1900s Vintage Tri-Plane,Planes,36.23,71.0,26,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S32_4289,1928 Ford Phaeton Deluxe,Vintage Cars,33.02,65.35,33,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S50_1341,1930 Buick Marquette Phaeton,Vintage Cars,27.06,35.78,39,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S700_1691,American Airlines: B767-300,Planes,51.15,91.34,31,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S700_2047,HMS Bounty,Ships,39.83,85.09,30,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S700_2466,America West Airlines B757-200,Planes,68.8,99.72,34,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S700_2834,ATA: B757-300,Planes,59.33,113.9,32,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S700_3167,F/A 18 Hornet 1/72,Planes,54.4,76.0,44,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S700_4002,American Airlines: MD-11S,Planes,36.27,70.33,48,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10106,2003-02-17,2003-02-21,S72_1253,Boeing X-32A JSF,Planes,32.77,43.7,48,Shipped,278,Rovelli Gifts,Bergamo,Italy,1401,Pamela Castillo
10107,2003-02-24,2003-02-26,S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,48.81,81.35,30,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S10_2016,1996 Moto Guzzi 1100i,Motorcycles,68.99,105.86,39,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,91.02,172.36,27,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S12_2823,2002 Suzuki XREO,Motorcycles,66.27,122.0,21,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,24.23,52.7,29,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S24_1578,1997 BMW R 1100 S,Motorcycles,60.86,96.92,25,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S24_2000,1960 BSA Gold Star DBD34,Motorcycles,37.32,73.12,38,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10107,2003-02-24,2003-02-26,S32_1374,1997 BMW F650 ST,Motorcycles,66.92,88.9,20,Shipped,131,Land of Toys Inc.,NYC,USA,1323,George Vanauf
10108,2003-03-03,2003-03-08,S12_1099,1968 Ford Mustang,Classic Cars,95.34,165.38,33,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S12_3380,1968 Dodge Charger,Classic Cars,75.16,96.3,45,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,31.92,75.81,39,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S12_4675,1969 Dodge Charger,Classic Cars,58.73,107.1,36,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S18_1889,1948 Porsche 356-A Roadster,Classic Cars,53.9,67.76,38,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S18_3278,1969 Dodge Super Bee,Classic Cars,49.05,73.17,26,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S18_3482,1976 Ford Gran Torino,Classic Cars,73.49,132.29,29,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S18_3782,1957 Vespa GS150,Motorcycles,32.95,52.84,43,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S18_4721,1957 Corvette Convertible,Classic Cars,69.93,139.87,44,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S24_2360,1982 Ducati 900 Monster,Motorcycles,47.1,64.41,35,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S24_3371,1971 Alpine Renault 1600s,Classic Cars,38.58,60.01,30,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S24_3856,1956 Porsche 356A Coupe,Classic Cars,98.3,132.0,40,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S24_4620,1961 Chevrolet Impala,Classic Cars,32.33,67.1,31,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S32_2206,1982 Ducati 996 R,Motorcycles,24.14,36.21,27,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S32_4485,1974 Ducati 350 Mk3 Desmo,Motorcycles,56.13,87.76,31,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10108,2003-03-03,2003-03-08,S50_4713,2002 Yamaha YZR M1,Motorcycles,34.17,74.85,34,Shipped,385,Cruz & Sons Co.,Makati City,Philippines,1621,Mami Nishi
10109,2003-03-10,2003-03-11,S18_1129,1993 Mazda RX-7,Classic Cars,83.51,117.48,26,Shipped,486,Motor Mint Distributors Inc.,Philadelphia,USA,1323,George Vanauf
10109,2003-03-10,2003-03-11,S18_1984,1995 Honda Civic,Classic Cars,93.89,137.98,38,Shipped,486,Motor Mint Distributors Inc.,Philadelphia,USA,1323,George Vanauf
10109,2003-03-10,2003-03-11,S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,56.76,126.72,26,Shipped,486,Motor Mint Distributors Inc.,Philadelphia,USA,1323,George Vanauf
10109,2003-03-10,2003-03-11,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,77.9,160.87,46,Shipped,486,Motor Mint Distributors Inc.,Philadelphia,USA,1323,George Vanauf
10109,2003-03-10,2003-03-11,S18_3685,1948 Porsche Type 356 Roadster,Classic Cars,62.16,125.74,47,Shipped,486,Motor Mint Distributors Inc.,Philadelphia,USA,1323,George Vanauf
10109,2003-03-10,2003-03-11,S24_2972,1982 Lamborghini Diablo,Classic Cars,16.24,32.1,29,Shipped,486,Motor Mint Distributors Inc.,Philadelphia,USA,1323,George Vanauf
10110,2003-03-18,2003-03-20,S18_1589,1965 Aston Martin DB5,Classic Cars,65.96,118.22,37,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S18_1749,1917 Grand Touring Sedan,Vintage Cars,86.7,153.0,42,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S18_2248,1911 Ford Town Car,Vintage Cars,33.3,51.46,32,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,58.48,115.69,33,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,72.56,163.69,31,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,43.26,81.91,28,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S18_4933,1957 Ford Thunderbird,Classic Cars,34.21,62.0,42,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_1046,1970 Chevy Chevelle SS 454,Classic Cars,49.24,72.02,36,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_1628,1966 Shelby Cobra 427 S/C,Classic Cars,29.18,43.27,29,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,22.57,28.88,20,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,20.61,40.77,39,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_2766,1949 Jaguar XK 120,Classic Cars,47.25,82.69,43,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_2887,1952 Citroen-15CV,Classic Cars,72.82,112.74,46,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_3191,1969 Chevrolet Camaro Z28,Classic Cars,50.51,80.47,27,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_3432,2002 Chevy Corvette,Classic Cars,62.11,96.37,37,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10110,2003-03-18,2003-03-20,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,21.75,35.29,48,Shipped,187,"AV Stores, Co.",Manchester,UK,1501,Larry Bott
10111,2003-03-25,2003-03-30,S18_1342,1937 Lincoln Berline,Vintage Cars,60.62,87.33,33,Shipped,129,Mini Wheels Co.,San Francisco,USA,1165,Leslie Jennings
10111,2003-03-25,2003-03-30,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,24.26,48.52,48,Shipped,129,Mini Wheels Co.,San Francisco,USA,1165,Leslie Jennings
10111,2003-03-25,2003-03-30,S18_2957,1934 Ford V8 Coupe,Vintage Cars,34.35,53.09,28,Shipped,129,Mini Wheels Co.,San Francisco,USA,1165,Leslie Jennings
10111,2003-03-25,2003-03-30,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,60.74,94.25,43,Shipped,129,Mini Wheels Co.,San Francisco,USA,1165,Leslie Jennings
10111,2003-03-25,2003-03-30,S18_3320,1917 Maxwell Touring Car,Vintage Cars,57.54,91.27,39,Shipped,129,Mini Wheels Co.,San Francisco,USA,1165,Leslie Jennings
10111,2003-03-25,2003-03-30,S24_4258,1936 Chrysler Airflow,Vintage Cars,57.46,85.7,26,Shipped,129,Mini Wheels Co.,San Francisco,USA,1165,Leslie Jennings
10112,2003-03-24,2003-03-29,S10_1949,1952 Alpine Renault 1300,Classic Cars,98.58,197.16,29,Shipped,144,"Volvo Model Replicas, Co",Luleå,Sweden,1504,Barry Jones
10112,2003-03-24,2003-03-29,S18_2949,1913 Ford Model T Speedster,Vintage Cars,60.78,85.1,23,Shipped,144,"Volvo Model Replicas, Co",Luleå,Sweden,1504,Barry Jones
10113,2003-03-26,2003-03-27,S12_1666,1958 Setra Bus,Trucks and Buses,77.9,121.64,21,Shipped,124,Mini Gifts Distributors Ltd.,San Rafael,USA,1165,Leslie Jennings
10113,2003-03-26,2003-03-27,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,58.33,101.5,49,Shipped,124,Mini Gifts Distributors Ltd.,San Rafael,USA,1165,Leslie Jennings
10113,2003-03-26,2003-03-27,S18_4668,1939 Cadillac Limousine,Vintage Cars,23.14,43.27,50,Shipped,124,Mini Gifts Distributors Ltd.,San Rafael,USA,1165,Leslie Jennings
10113,2003-03-26,2003-03-27,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,33.61,58.82,23,Shipped,124,Mini Gifts Distributors Ltd.,San Rafael,USA,1165,Leslie Jennings
10114,2003-04-01,2003-04-02,S10_4962,1962 LanciaA Delta 16V,Classic Cars,103.42,128.53,31,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,74.86,106.78,39,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S18_2432,1926 Ford Fire Engine,Trucks and Buses,24.92,53.48,45,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S18_3232,1992 Ferrari 360 Spider red,Classic Cars,77.9,169.34,48,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S18_4600,1940s Ford truck,Trucks and Buses,84.76,105.34,41,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,61.34,102.23,21,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S24_2840,1958 Chevy Corvette Limited Edition,Classic Cars,15.91,28.64,24,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S32_1268,1980’s GM Manhattan Express,Trucks and Buses,53.93,88.61,32,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S32_2509,1954 Greyhound Scenicruiser,Trucks and Buses,25.98,43.83,28,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10114,2003-04-01,2003-04-02,S700_2824,1982 Camaro Z28,Classic Cars,46.53,82.94,42,Shipped,172,"La Corne D'abondance, Co.",Paris,France,1337,Loui Bondur
10115,2003-04-04,2003-04-07,S12_4473,1957 Chevy Pickup,Trucks and Buses,55.7,111.39,46,Shipped,424,Classic Legends Inc.,NYC,USA,1286,Foon Yue Tseng
10115,2003-04-04,2003-04-07,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,101.51,140.81,46,Shipped,424,Classic Legends Inc.,NYC,USA,1286,Foon Yue Tseng
10115,2003-04-04,2003-04-07,S24_1444,1970 Dodge Coronet,Classic Cars,32.37,56.64,47,Shipped,424,Classic Legends Inc.,NYC,USA,1286,Foon Yue Tseng
10115,2003-04-04,2003-04-07,S24_4048,1992 Porsche Cayenne Turbo Silver,Classic Cars,69.78,106.45,44,Shipped,424,Classic Legends Inc.,NYC,USA,1286,Foon Yue Tseng
10115,2003-04-04,2003-04-07,S50_1392,Diamond T620 Semi-Skirted Tanker,Trucks and Buses,68.29,100.7,27,Shipped,424,Classic Legends Inc.,NYC,USA,1286,Foon Yue Tseng
10116,2003-04-11,2003-04-13,S32_3207,1950's Chicago Surface Lines Streetcar,Trains,26.72,60.28,27,Shipped,381,Royale Belge,Charleroi,Belgium,1401,Pamela Castillo
10117,2003-04-16,2003-04-17,S12_1108,2001 Ferrari Enzo,Classic Cars,95.59,195.33,33,Shipped,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,1621,Mami Nishi
